response,context,context/0,context/1,context/2,context/3,context/4,context/5
"What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.","We gotta go, gotta get outta here, come on. Got a surprise for you Morty.",Ow! Ow! You're tugging me too hard!,"Come on, I got a surprise for you.  Come on, hurry up.",It's the middle of the night. What are you talking about?,"I got a surprise for you, Morty.","What, Rick? What’s going on?",Morty! You gotta come on. Jus'... you gotta come with me.
"Yeah, Rick... I-it's great. Is this the surprise?","What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.","We gotta go, gotta get outta here, come on. Got a surprise for you Morty.",Ow! Ow! You're tugging me too hard!,"Come on, I got a surprise for you.  Come on, hurry up.",It's the middle of the night. What are you talking about?,"I got a surprise for you, Morty.","What, Rick? What’s going on?"
"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.","Yeah, Rick... I-it's great. Is this the surprise?","What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.","We gotta go, gotta get outta here, come on. Got a surprise for you Morty.",Ow! Ow! You're tugging me too hard!,"Come on, I got a surprise for you.  Come on, hurry up.",It's the middle of the night. What are you talking about?,"I got a surprise for you, Morty."
What?! A bomb?!,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.","Yeah, Rick... I-it's great. Is this the surprise?","What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.","We gotta go, gotta get outta here, come on. Got a surprise for you Morty.",Ow! Ow! You're tugging me too hard!,"Come on, I got a surprise for you.  Come on, hurry up.",It's the middle of the night. What are you talking about?
"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",What?! A bomb?!,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.","Yeah, Rick... I-it's great. Is this the surprise?","What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.","We gotta go, gotta get outta here, come on. Got a surprise for you Morty.",Ow! Ow! You're tugging me too hard!,"Come on, I got a surprise for you.  Come on, hurry up."
T-t-that's absolutely crazy!,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",What?! A bomb?!,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.","Yeah, Rick... I-it's great. Is this the surprise?","What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.","We gotta go, gotta get outta here, come on. Got a surprise for you Morty.",Ow! Ow! You're tugging me too hard!
"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",T-t-that's absolutely crazy!,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",What?! A bomb?!,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.","Yeah, Rick... I-it's great. Is this the surprise?","What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.","We gotta go, gotta get outta here, come on. Got a surprise for you Morty."
Jessica? From my math class?,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",T-t-that's absolutely crazy!,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",What?! A bomb?!,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.","Yeah, Rick... I-it's great. Is this the surprise?","What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage."
"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.",Jessica? From my math class?,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",T-t-that's absolutely crazy!,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",What?! A bomb?!,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.","Yeah, Rick... I-it's great. Is this the surprise?"
Ohh...,"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.",Jessica? From my math class?,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",T-t-that's absolutely crazy!,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",What?! A bomb?!,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb."
